Name: Juniper Drive, Instruction: Head west on Juniper Drive, Distance: 213.1 meters, Time: 153.5 seconds
Name: Park Green Avenue, Instruction: Turn right onto Park Green Avenue, Distance: 44.9 meters, Time: 32.3 seconds
Name: Park Green Avenue, Instruction: Keep left onto Park Green Avenue, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn slight right, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 217.4 meters, Time: 156.5 seconds
Name: -, Instruction: Turn right, Distance: 60.1 meters, Time: 43.3 seconds
Name: -, Instruction: Turn slight left, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Turn right, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 519.4 meters, Time: 374.0 seconds
Name: Bayvista Drive, Instruction: Turn left onto Bayvista Drive, Distance: 69.5 meters, Time: 50.1 seconds
Name: Bayvista Drive, Instruction: Turn right onto Bayvista Drive, Distance: 261.6 meters, Time: 188.3 seconds
Name: Bayvista Drive, Instruction: Turn right onto Bayvista Drive, Distance: 54.1 meters, Time: 38.9 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 111.6 meters, Time: 80.4 seconds
Name: -, Instruction: Turn right, Distance: 507.3 meters, Time: 365.2 seconds
Name: -, Instruction: Turn right, Distance: 33.5 meters, Time: 24.1 seconds
Name: Anchorage Drive, Instruction: Turn left onto Anchorage Drive, Distance: 31.7 meters, Time: 22.8 seconds
Name: Pickaberry Avenue, Instruction: Turn right onto Pickaberry Avenue, Distance: 217.6 meters, Time: 156.7 seconds
Name: -, Instruction: Turn right, Distance: 86.9 meters, Time: 62.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
