Name: Meeks Street Plaza, Instruction: Head east on Meeks Street Plaza, Distance: 66.9 meters, Time: 48.2 seconds
Name: Meeks Street, Instruction: Enter the roundabout and take the 2nd exit onto Meeks Street, Distance: 135.7 meters, Time: 97.7 seconds
Name: Forsyth Street, Instruction: Enter the roundabout and take the 1st exit onto Forsyth Street, Distance: 316.1 meters, Time: 227.6 seconds
Name: -, Instruction: Turn right, Distance: 11.6 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 96.4 meters, Time: 69.4 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: Engineering Road, Instruction: Turn left onto Engineering Road, Distance: 96.9 meters, Time: 69.8 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 33.7 meters, Time: 24.3 seconds
Name: University Mall, Instruction: Turn left onto University Mall, Distance: 42.9 meters, Time: 30.9 seconds
Name: -, Instruction: Turn right, Distance: 37.5 meters, Time: 27.0 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Keep left, Distance: 59.4 meters, Time: 42.8 seconds
Name: -, Instruction: Keep right, Distance: 42.3 meters, Time: 30.4 seconds
Name: College Road, Instruction: Turn sharp right onto College Road, Distance: 61.4 meters, Time: 44.2 seconds
Name: -, Instruction: Arrive at College Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
