Name: George Duncan Lane, Instruction: Head west on George Duncan Lane, Distance: 4.8 meters, Time: 3.5 seconds
Name: Lawlor Avenue, Instruction: Turn right onto Lawlor Avenue, Distance: 140.5 meters, Time: 101.1 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 46.1 meters, Time: 33.2 seconds
Name: -, Instruction: Keep left, Distance: 105.6 meters, Time: 76.1 seconds
Name: -, Instruction: Keep right, Distance: 145.5 meters, Time: 104.7 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.4 seconds
Name: Swanwick Avenue, Instruction: Turn left onto Swanwick Avenue, Distance: 172.4 meters, Time: 124.1 seconds
Name: -, Instruction: Turn right, Distance: 148.0 meters, Time: 106.6 seconds
Name: Reese Fallon Way, Instruction: Turn left onto Reese Fallon Way, Distance: 3.2 meters, Time: 2.3 seconds
Name: Wayland Avenue, Instruction: Turn right onto Wayland Avenue, Distance: 47.2 meters, Time: 34.0 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn slight right, Distance: 112.7 meters, Time: 81.1 seconds
Name: Osborne Avenue, Instruction: Turn right onto Osborne Avenue, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 88.7 meters, Time: 63.9 seconds
Name: -, Instruction: Turn slight left, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Keep right, Distance: 39.4 meters, Time: 28.3 seconds
Name: -, Instruction: Keep left, Distance: 39.8 meters, Time: 28.6 seconds
Name: GO Train Access, Instruction: Continue straight onto GO Train Access, Distance: 164.0 meters, Time: 118.1 seconds
Name: -, Instruction: Turn right, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn right, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Keep left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 91.4 meters, Time: 65.8 seconds
Name: -, Instruction: Turn right, Distance: 153.6 meters, Time: 110.6 seconds
Name: -, Instruction: Turn right, Distance: 86.2 meters, Time: 62.1 seconds
Name: -, Instruction: Keep left, Distance: 108.8 meters, Time: 78.4 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.8 seconds
Name: Barrington Avenue, Instruction: Turn left onto Barrington Avenue, Distance: 288.1 meters, Time: 207.4 seconds
Name: -, Instruction: Arrive at Barrington Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
