Name: Pōnui Place, Instruction: Head northeast on Pōnui Place, Distance: 83.7 meters, Time: 60.3 seconds
Name: Maxwelton Drive, Instruction: Turn right onto Maxwelton Drive, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 174.0 meters, Time: 125.3 seconds
Name: -, Instruction: Turn left, Distance: 192.0 meters, Time: 138.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 2.6 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Turn right, Distance: 139.3 meters, Time: 100.3 seconds
Name: -, Instruction: Turn left, Distance: 64.4 meters, Time: 46.3 seconds
Name: Hastings Road, Instruction: Turn right onto Hastings Road, Distance: 68.9 meters, Time: 49.6 seconds
Name: -, Instruction: Turn slight left, Distance: 61.5 meters, Time: 44.3 seconds
Name: -, Instruction: Turn left, Distance: 46.8 meters, Time: 33.7 seconds
Name: -, Instruction: Turn right, Distance: 57.8 meters, Time: 41.6 seconds
Name: Beach Road, Instruction: Turn slight right onto Beach Road, Distance: 15.7 meters, Time: 11.3 seconds
Name: Montrose Terrace, Instruction: Enter the roundabout and take the 1st exit onto Montrose Terrace, Distance: 101.4 meters, Time: 73.0 seconds
Name: -, Instruction: Turn left, Distance: 154.8 meters, Time: 111.4 seconds
Name: Brighton Terrace, Instruction: Turn right onto Brighton Terrace, Distance: 64.5 meters, Time: 46.5 seconds
Name: Bournemouth Terrace, Instruction: Turn slight left onto Bournemouth Terrace, Distance: 171.3 meters, Time: 123.3 seconds
Name: -, Instruction: Turn right, Distance: 92.1 meters, Time: 66.3 seconds
Name: -, Instruction: Turn left, Distance: 215.4 meters, Time: 155.1 seconds
Name: -, Instruction: Keep right, Distance: 30.8 meters, Time: 22.2 seconds
Name: -, Instruction: Turn right, Distance: 59.0 meters, Time: 42.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 14.9 meters, Time: 10.7 seconds
Name: Gulf View Road, Instruction: Turn left onto Gulf View Road, Distance: 7.5 meters, Time: 5.4 seconds
Name: Gulf View Road, Instruction: Keep right onto Gulf View Road, Distance: 24.5 meters, Time: 17.7 seconds
Name: Beach Road, Instruction: Turn right onto Beach Road, Distance: 56.3 meters, Time: 40.5 seconds
Name: Seaton Road, Instruction: Turn left onto Seaton Road, Distance: 26.7 meters, Time: 19.2 seconds
Name: -, Instruction: Arrive at Seaton Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
