Name: Ryehill Close, Instruction: Head northwest on Ryehill Close, Distance: 91.5 meters, Time: 65.9 seconds
Name: -, Instruction: Turn left, Distance: 301.6 meters, Time: 217.1 seconds
Name: -, Instruction: Keep right, Distance: 461.0 meters, Time: 331.9 seconds
Name: -, Instruction: Keep right, Distance: 9.9 meters, Time: 7.1 seconds
Name: De Val Drive, Instruction: Turn right onto De Val Drive, Distance: 5.6 meters, Time: 4.0 seconds
Name: West Lynn Road, Instruction: Turn left onto West Lynn Road, Distance: 348.2 meters, Time: 250.7 seconds
Name: -, Instruction: Turn left, Distance: 154.6 meters, Time: 111.3 seconds
Name: -, Instruction: Turn right, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 321.3 meters, Time: 231.3 seconds
Name: -, Instruction: Turn left, Distance: 661.0 meters, Time: 476.0 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 39.2 meters, Time: 28.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
