Name: Kaiserplatz, Instruction: Head south on Kaiserplatz, Distance: 84.4 meters, Time: 60.7 seconds
Name: Kaiserstraße, Instruction: Turn left onto Kaiserstraße, Distance: 31.1 meters, Time: 22.4 seconds
Name: -, Instruction: Keep right, Distance: 29.9 meters, Time: 21.5 seconds
Name: Friedrichstraße, Instruction: Turn right onto Friedrichstraße, Distance: 235.0 meters, Time: 169.2 seconds
Name: Ainmillerstraße, Instruction: Turn left onto Ainmillerstraße, Distance: 523.3 meters, Time: 376.8 seconds
Name: Kaulbachstraße, Instruction: Turn right onto Kaulbachstraße, Distance: 69.8 meters, Time: 50.2 seconds
Name: -, Instruction: Turn left, Distance: 182.6 meters, Time: 131.4 seconds
Name: -, Instruction: Turn left, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Keep right, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn right, Distance: 42.0 meters, Time: 30.2 seconds
Name: Englischer Garten, Instruction: Turn slight left onto Englischer Garten, Distance: 68.3 meters, Time: 49.2 seconds
Name: Max-Joseph-Straße, Instruction: Turn right onto Max-Joseph-Straße, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn right, Distance: 201.4 meters, Time: 145.0 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: Carl-Theodor-Straße, Instruction: Turn sharp right onto Carl-Theodor-Straße, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 390.7 meters, Time: 281.3 seconds
Name: -, Instruction: Keep left, Distance: 155.6 meters, Time: 112.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 13.7 meters, Time: 9.8 seconds
Name: -, Instruction: Arrive at your destination, on the left, Distance: 0.0 meters, Time: 0.0 seconds
