Name: Sefton Road, Instruction: Head northeast on Sefton Road, Distance: 66.2 meters, Time: 47.7 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 401.8 meters, Time: 289.3 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 156.1 meters, Time: 112.4 seconds
Name: -, Instruction: Turn right, Distance: 797.8 meters, Time: 574.4 seconds
Name: Eaton Avenue, Instruction: Turn left onto Eaton Avenue, Distance: 54.9 meters, Time: 39.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 66.3 meters, Time: 47.7 seconds
Name: -, Instruction: Turn right, Distance: 48.9 meters, Time: 35.2 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 32.2 meters, Time: 23.2 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Continue straight, Distance: 664.7 meters, Time: 478.6 seconds
Name: Tracey Close, Instruction: Turn right onto Tracey Close, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Arrive at Tracey Close, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
