Name: Rue George Sand, Instruction: Head northwest on Rue George Sand, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 147.3 meters, Time: 106.1 seconds
Name: -, Instruction: Turn slight left, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 57.9 meters, Time: 41.7 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn slight right, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn slight left, Distance: 76.1 meters, Time: 54.8 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 145.1 meters, Time: 104.5 seconds
Name: -, Instruction: Turn left, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 27.8 meters, Time: 20.0 seconds
Name: -, Instruction: Turn left, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Keep right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Keep right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Keep right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Keep right, Distance: 128.7 meters, Time: 92.6 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn slight right, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: Rue de Boulainvilliers, Instruction: Turn left onto Rue de Boulainvilliers, Distance: 387.6 meters, Time: 279.1 seconds
Name: Rue de Boulainvilliers, Instruction: Keep right onto Rue de Boulainvilliers, Distance: 190.5 meters, Time: 137.2 seconds
Name: Avenue Paul Doumer, Instruction: Turn slight right onto Avenue Paul Doumer, Distance: 19.2 meters, Time: 13.8 seconds
Name: Avenue Paul Doumer, Instruction: Keep left onto Avenue Paul Doumer, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 111.1 meters, Time: 80.0 seconds
Name: -, Instruction: Turn slight right, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn slight left, Distance: 4.3 meters, Time: 3.1 seconds
Name: Rue Faustin Hélie, Instruction: Turn right onto Rue Faustin Hélie, Distance: 59.7 meters, Time: 43.0 seconds
Name: -, Instruction: Turn left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.6 seconds
Name: Rue Marceline Desbordes-Valmore, Instruction: Turn left onto Rue Marceline Desbordes-Valmore, Distance: 136.4 meters, Time: 98.2 seconds
Name: -, Instruction: Arrive at Rue Marceline Desbordes-Valmore, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
