Name: Glen Morris Street, Instruction: Head east on Glen Morris Street, Distance: 148.1 meters, Time: 106.6 seconds
Name: -, Instruction: Turn right, Distance: 83.1 meters, Time: 59.9 seconds
Name: -, Instruction: Turn left, Distance: 168.3 meters, Time: 121.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 487.6 meters, Time: 351.1 seconds
Name: -, Instruction: Turn right, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Turn right, Distance: 77.7 meters, Time: 55.9 seconds
Name: -, Instruction: Turn right, Distance: 533.9 meters, Time: 384.4 seconds
Name: Yonge Street, Instruction: Turn right onto Yonge Street, Distance: 50.0 meters, Time: 36.0 seconds
Name: Isabella Street, Instruction: Turn left onto Isabella Street, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Arrive at Isabella Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
