Name: River Oak Circuit, Instruction: Head north on River Oak Circuit, Distance: 105.8 meters, Time: 76.2 seconds
Name: Taringa Avenue, Instruction: Turn right onto Taringa Avenue, Distance: 182.9 meters, Time: 131.7 seconds
Name: -, Instruction: Turn right, Distance: 138.4 meters, Time: 99.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 14.8 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 127.5 meters, Time: 91.8 seconds
Name: -, Instruction: Turn left, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn right, Distance: 119.8 meters, Time: 86.2 seconds
Name: -, Instruction: Turn left, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn right, Distance: 35.3 meters, Time: 25.4 seconds
Name: -, Instruction: Turn left, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn right, Distance: 109.2 meters, Time: 78.7 seconds
Name: -, Instruction: Turn left, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn right, Distance: 166.6 meters, Time: 120.0 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 736.6 meters, Time: 530.3 seconds
Name: -, Instruction: Turn slight right, Distance: 95.9 meters, Time: 69.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
