Name: Winter Avenue, Instruction: Head east on Winter Avenue, Distance: 240.7 meters, Time: 173.3 seconds
Name: Sussex Road, Instruction: Turn right onto Sussex Road, Distance: 67.8 meters, Time: 48.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 67.2 meters, Time: 48.4 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: Botanical Drive, Instruction: Turn left onto Botanical Drive, Distance: 6.9 meters, Time: 4.9 seconds
Name: Poole Road, Instruction: Turn right onto Poole Road, Distance: 74.1 meters, Time: 53.3 seconds
Name: Greyfriar Place, Instruction: Turn left onto Greyfriar Place, Distance: 75.0 meters, Time: 54.0 seconds
Name: Ellerstone Court, Instruction: Turn left onto Ellerstone Court, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 52.7 meters, Time: 38.0 seconds
Name: -, Instruction: Turn left, Distance: 151.6 meters, Time: 109.2 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn slight right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 36.3 meters, Time: 26.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
