Name: Sirman Lane, Instruction: Head east on Sirman Lane, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 1135.9 meters, Time: 817.8 seconds
Name: -, Instruction: Turn right, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 245.5 meters, Time: 176.7 seconds
Name: -, Instruction: Keep right, Distance: 1.3 meters, Time: 1.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 99.7 meters, Time: 71.8 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Keep right, Distance: 43.0 meters, Time: 31.0 seconds
Name: -, Instruction: Turn slight right, Distance: 69.7 meters, Time: 50.2 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 118.5 meters, Time: 85.3 seconds
Name: Leader Lane, Instruction: Turn left onto Leader Lane, Distance: 68.5 meters, Time: 49.3 seconds
Name: Colborne Street, Instruction: Turn right onto Colborne Street, Distance: 40.9 meters, Time: 29.5 seconds
Name: -, Instruction: Arrive at Colborne Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
