Name: شارع جمال عبد الناصر, Instruction: Head southeast on شارع جمال عبد الناصر, Distance: 64.8 meters, Time: 46.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 319.2 meters, Time: 229.8 seconds
Name: -, Instruction: Turn left, Distance: 16.7 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 45.9 meters, Time: 33.0 seconds
Name: -, Instruction: Turn right, Distance: 121.8 meters, Time: 87.7 seconds
Name: -, Instruction: Turn right, Distance: 46.5 meters, Time: 33.5 seconds
Name: -, Instruction: Turn left, Distance: 165.0 meters, Time: 118.8 seconds
Name: -, Instruction: Keep right, Distance: 385.7 meters, Time: 277.7 seconds
Name: شارع انور سلامه, Instruction: Enter the roundabout and take the 3rd exit onto شارع انور سلامه, Distance: 214.8 meters, Time: 154.6 seconds
Name: شارع انور سلامه, Instruction: Continue straight onto شارع انور سلامه, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn right, Distance: 14.1 meters, Time: 10.1 seconds
Name: شارع انور سلامه, Instruction: Turn left onto شارع انور سلامه, Distance: 81.6 meters, Time: 58.7 seconds
Name: -, Instruction: Enter the roundabout and take the 3rd exit, Distance: 190.5 meters, Time: 137.1 seconds
Name: -, Instruction: Keep right, Distance: 43.4 meters, Time: 31.2 seconds
Name: شارع فوزي محمد السيد, Instruction: Turn slight right onto شارع فوزي محمد السيد, Distance: 143.8 meters, Time: 103.5 seconds
Name: شارع فوزي محمد السيد, Instruction: Continue straight onto شارع فوزي محمد السيد, Distance: 27.6 meters, Time: 19.9 seconds
Name: شارع سيد بدوى قنديل, Instruction: Turn left onto شارع سيد بدوى قنديل, Distance: 207.1 meters, Time: 149.1 seconds
Name: -, Instruction: Arrive at شارع سيد بدوى قنديل, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
