Name: Isaraustraße, Instruction: Head northeast on Isaraustraße, Distance: 175.7 meters, Time: 126.5 seconds
Name: Münchner Straße, Instruction: Turn left onto Münchner Straße, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.1 seconds
Name: Münchner Straße, Instruction: Turn right onto Münchner Straße, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn slight left, Distance: 114.3 meters, Time: 82.3 seconds
Name: Aschheimer Straße, Instruction: Turn left onto Aschheimer Straße, Distance: 880.0 meters, Time: 633.6 seconds
Name: Aschheimer Straße, Instruction: Keep right onto Aschheimer Straße, Distance: 38.4 meters, Time: 27.7 seconds
Name: Etzweg, Instruction: Turn slight right onto Etzweg, Distance: 14.8 meters, Time: 10.7 seconds
Name: Aschheimer Weg, Instruction: Turn left onto Aschheimer Weg, Distance: 549.4 meters, Time: 395.6 seconds
Name: -, Instruction: Continue straight, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Keep right, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
