Name: Aldwych, A4, Instruction: Head west on Aldwych, A4, Distance: 40.9 meters, Time: 29.4 seconds
Name: Houghton Street, Instruction: Turn right onto Houghton Street, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 47.3 meters, Time: 34.1 seconds
Name: -, Instruction: Turn right, Distance: 95.3 meters, Time: 68.6 seconds
Name: -, Instruction: Keep left, Distance: 96.9 meters, Time: 69.8 seconds
Name: -, Instruction: Turn slight left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn slight left, Distance: 163.0 meters, Time: 117.4 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 128.4 meters, Time: 92.4 seconds
Name: Kingsway, Instruction: Keep right onto Kingsway, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
