Name: Rue Fessart, Instruction: Head south on Rue Fessart, Distance: 6.1 meters, Time: 4.4 seconds
Name: Place des Écoles, Instruction: Turn left onto Place des Écoles, Distance: 38.9 meters, Time: 28.0 seconds
Name: Rue Escudier, Instruction: Turn left onto Rue Escudier, Distance: 202.1 meters, Time: 145.5 seconds
Name: Rue des Tilleuls, Instruction: Keep right onto Rue des Tilleuls, Distance: 253.0 meters, Time: 182.1 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 40.8 meters, Time: 29.4 seconds
Name: -, Instruction: Turn right, Distance: 22.1 meters, Time: 15.9 seconds
Name: Rue Salomon Reinach, Instruction: Turn left onto Rue Salomon Reinach, Distance: 320.8 meters, Time: 231.0 seconds
Name: Place de l'Europe, Instruction: Turn slight left onto Place de l'Europe, Distance: 10.3 meters, Time: 7.4 seconds
Name: Rue du Vélodrome, Instruction: Continue straight onto Rue du Vélodrome, Distance: 52.4 meters, Time: 37.7 seconds
Name: Rue Nungesser et Coli, Instruction: Turn right onto Rue Nungesser et Coli, Distance: 11.6 meters, Time: 8.4 seconds
Name: Rue Claude Farrère, Instruction: Enter the roundabout and take the 1st exit onto Rue Claude Farrère, Distance: 235.0 meters, Time: 169.2 seconds
Name: Rue Lecomte du Noüy, Instruction: Enter the roundabout and take the 2nd exit onto Rue Lecomte du Noüy, Distance: 198.8 meters, Time: 143.1 seconds
Name: Rue de Civry, Instruction: Turn left onto Rue de Civry, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 221.5 meters, Time: 159.5 seconds
Name: -, Instruction: Turn right, Distance: 86.0 meters, Time: 61.9 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Turn slight right, Distance: 53.5 meters, Time: 38.6 seconds
Name: -, Instruction: Turn slight left, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 157.5 meters, Time: 113.4 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
