Name: Grosvenor Street, Instruction: Head east on Grosvenor Street, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 7.4 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 352.3 meters, Time: 253.7 seconds
Name: -, Instruction: Turn left, Distance: 54.2 meters, Time: 39.0 seconds
Name: -, Instruction: Turn right, Distance: 107.0 meters, Time: 77.0 seconds
Name: St Luke Lane, Instruction: Turn left onto St Luke Lane, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 43.0 meters, Time: 31.0 seconds
Name: -, Instruction: Turn left, Distance: 718.6 meters, Time: 517.4 seconds
Name: -, Instruction: Turn right, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Keep left, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 199.9 meters, Time: 143.9 seconds
Name: -, Instruction: Turn left, Distance: 141.4 meters, Time: 101.8 seconds
Name: -, Instruction: Keep right, Distance: 51.2 meters, Time: 36.9 seconds
Name: -, Instruction: Turn slight right, Distance: 124.8 meters, Time: 89.9 seconds
Name: -, Instruction: Turn right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.4 seconds
Name: Park Road, Instruction: Turn left onto Park Road, Distance: 369.2 meters, Time: 265.8 seconds
Name: Park Road, Instruction: Keep left onto Park Road, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
