Name: شارع اللواء صالح حرب, Instruction: Head southwest on شارع اللواء صالح حرب, Distance: 76.1 meters, Time: 54.8 seconds
Name: شارع صديق جوهر, Instruction: Turn left onto شارع صديق جوهر, Distance: 420.4 meters, Time: 302.7 seconds
Name: -, Instruction: Turn left, Distance: 89.4 meters, Time: 64.4 seconds
Name: شارع الخليفه الظافر, Instruction: Turn sharp right onto شارع الخليفه الظافر, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Turn left, Distance: 25.5 meters, Time: 18.4 seconds
Name: شارع الخليفه الظافر, Instruction: Turn sharp right onto شارع الخليفه الظافر, Distance: 75.4 meters, Time: 54.3 seconds
Name: -, Instruction: Turn left, Distance: 67.3 meters, Time: 48.5 seconds
Name: شارع عبد العزيز الشناوي البخاري, Instruction: Turn right onto شارع عبد العزيز الشناوي البخاري, Distance: 73.9 meters, Time: 53.2 seconds
Name: شارع الإمام ابو حنيفه, Instruction: Turn left onto شارع الإمام ابو حنيفه, Distance: 253.0 meters, Time: 182.2 seconds
Name: شارع عباس زعزوع, Instruction: Turn right onto شارع عباس زعزوع, Distance: 78.0 meters, Time: 56.2 seconds
Name: شارع عبد الله العربى, Instruction: Turn left onto شارع عبد الله العربى, Distance: 158.9 meters, Time: 114.4 seconds
Name: -, Instruction: Turn right, Distance: 15.6 meters, Time: 11.2 seconds
Name: شارع عبد الله العربى, Instruction: Turn right onto شارع عبد الله العربى, Distance: 157.5 meters, Time: 113.4 seconds
Name: شارع البرامكه, Instruction: Turn left onto شارع البرامكه, Distance: 571.5 meters, Time: 411.5 seconds
Name: شارع محمد فتح الله السليطي, Instruction: Turn left onto شارع محمد فتح الله السليطي, Distance: 111.5 meters, Time: 80.3 seconds
Name: -, Instruction: Turn right, Distance: 115.1 meters, Time: 82.8 seconds
Name: -, Instruction: Turn right, Distance: 42.3 meters, Time: 30.5 seconds
Name: -, Instruction: Turn left, Distance: 54.3 meters, Time: 39.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
