Name: Rue Choron, Instruction: Head east on Rue Choron, Distance: 31.9 meters, Time: 22.9 seconds
Name: -, Instruction: Turn left, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn right, Distance: 140.3 meters, Time: 101.0 seconds
Name: Rue Marguerite de Rochechouart, Instruction: Turn right onto Rue Marguerite de Rochechouart, Distance: 46.8 meters, Time: 33.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 103.5 meters, Time: 74.5 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: Rue de Montholon, Instruction: Turn left onto Rue de Montholon, Distance: 10.9 meters, Time: 7.8 seconds
Name: Rue Mayran, Instruction: Turn right onto Rue Mayran, Distance: 13.0 meters, Time: 9.4 seconds
Name: Rue La Fayette, Instruction: Turn left onto Rue La Fayette, Distance: 31.7 meters, Time: 22.8 seconds
Name: Rue La Fayette, Instruction: Turn right onto Rue La Fayette, Distance: 6.4 meters, Time: 4.6 seconds
Name: Rue Papillon, Instruction: Turn slight left onto Rue Papillon, Distance: 125.4 meters, Time: 90.3 seconds
Name: Rue Bleue, Instruction: Turn slight left onto Rue Bleue, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 187.6 meters, Time: 135.1 seconds
Name: -, Instruction: Turn slight right, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 222.1 meters, Time: 159.9 seconds
Name: -, Instruction: Turn slight right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 129.4 meters, Time: 93.2 seconds
Name: -, Instruction: Turn left, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Keep right, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn right, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn left, Distance: 51.6 meters, Time: 37.1 seconds
Name: -, Instruction: Turn slight right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 111.0 meters, Time: 79.9 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
