Name: Rua 17, Instruction: Head southwest on Rua 17, Distance: 134.8 meters, Time: 97.0 seconds
Name: Rua Três, Instruction: Turn left onto Rua Três, Distance: 12.0 meters, Time: 8.7 seconds
Name: Estrada do Guandu, Instruction: Turn sharp right onto Estrada do Guandu, Distance: 286.3 meters, Time: 206.1 seconds
Name: Estrada do Guandu, Instruction: Continue straight onto Estrada do Guandu, Distance: 74.7 meters, Time: 53.8 seconds
Name: Estrada do Guandu, Instruction: Continue straight onto Estrada do Guandu, Distance: 127.5 meters, Time: 91.8 seconds
Name: -, Instruction: Keep left, Distance: 33.6 meters, Time: 24.2 seconds
Name: Avenida João XXIII, Instruction: Turn left onto Avenida João XXIII, Distance: 139.9 meters, Time: 100.8 seconds
Name: Estrada do Guandu, Instruction: Keep left onto Estrada do Guandu, Distance: 719.6 meters, Time: 518.1 seconds
Name: Rua Vitorino Pereira de Sousa, Instruction: Turn left onto Rua Vitorino Pereira de Sousa, Distance: 247.9 meters, Time: 178.5 seconds
Name: -, Instruction: Turn left, Distance: 105.7 meters, Time: 76.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
