Name: Perhamerstraße, Instruction: Head east on Perhamerstraße, Distance: 153.3 meters, Time: 110.4 seconds
Name: Stadtlohner Straße, Instruction: Turn right onto Stadtlohner Straße, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 65.5 meters, Time: 47.1 seconds
Name: Fürstenrieder Straße, Instruction: Turn right onto Fürstenrieder Straße, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn left, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Turn right, Distance: 190.7 meters, Time: 137.3 seconds
Name: -, Instruction: Turn left, Distance: 42.8 meters, Time: 30.8 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 45.6 meters, Time: 32.8 seconds
Name: -, Instruction: Turn slight left, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn right, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Keep left, Distance: 5.5 meters, Time: 4.0 seconds
Name: Kirchmairstraße, Instruction: Turn right onto Kirchmairstraße, Distance: 288.5 meters, Time: 207.7 seconds
Name: Hogenbergstraße, Instruction: Turn left onto Hogenbergstraße, Distance: 256.5 meters, Time: 184.7 seconds
Name: -, Instruction: Turn right, Distance: 85.3 meters, Time: 61.4 seconds
Name: -, Instruction: Turn left, Distance: 72.9 meters, Time: 52.5 seconds
Name: -, Instruction: Turn right, Distance: 45.3 meters, Time: 32.6 seconds
Name: -, Instruction: Turn right, Distance: 230.5 meters, Time: 166.0 seconds
Name: -, Instruction: Turn left, Distance: 28.2 meters, Time: 20.3 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: Camerloherstraße, Instruction: Turn left onto Camerloherstraße, Distance: 68.0 meters, Time: 48.9 seconds
Name: -, Instruction: Turn right, Distance: 96.5 meters, Time: 69.4 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
