Name: Passage des Nymphéas, Instruction: Head southwest on Passage des Nymphéas, Distance: 51.5 meters, Time: 37.1 seconds
Name: Rue de la Rochefoucauld, Instruction: Turn left onto Rue de la Rochefoucauld, Distance: 11.5 meters, Time: 8.3 seconds
Name: Rue Bartholdi, Instruction: Turn right onto Rue Bartholdi, Distance: 198.2 meters, Time: 142.7 seconds
Name: Rue des Tilleuls, Instruction: Turn left onto Rue des Tilleuls, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 36.2 meters, Time: 26.1 seconds
Name: -, Instruction: Turn slight right, Distance: 106.9 meters, Time: 77.0 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 90.8 meters, Time: 65.4 seconds
Name: -, Instruction: Turn slight right, Distance: 0.8 meters, Time: 0.6 seconds
Name: -, Instruction: Turn slight left, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 212.1 meters, Time: 152.7 seconds
Name: -, Instruction: Turn slight left, Distance: 11.9 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 87.5 meters, Time: 63.0 seconds
Name: -, Instruction: Turn right, Distance: 107.4 meters, Time: 77.3 seconds
Name: -, Instruction: Keep left, Distance: 5.5 meters, Time: 4.0 seconds
Name: Rue Maître-Jacques, Instruction: Turn left onto Rue Maître-Jacques, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Arrive at Rue Maître-Jacques, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
