Name: Harding Avenue, Instruction: Head north on Harding Avenue, Distance: 459.6 meters, Time: 330.9 seconds
Name: Tidey Road, Instruction: Turn right onto Tidey Road, Distance: 222.6 meters, Time: 160.3 seconds
Name: -, Instruction: Turn right, Distance: 184.3 meters, Time: 132.7 seconds
Name: Stonefields Heritage Trail, Instruction: Turn left onto Stonefields Heritage Trail, Distance: 547.5 meters, Time: 394.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 13.8 meters, Time: 10.0 seconds
Name: -, Instruction: Continue straight, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn right, Distance: 84.9 meters, Time: 61.1 seconds
Name: -, Instruction: Turn left, Distance: 15.7 meters, Time: 11.3 seconds
Name: Lunn Avenue, Instruction: Turn right onto Lunn Avenue, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 168.0 meters, Time: 121.0 seconds
Name: -, Instruction: Turn left, Distance: 152.6 meters, Time: 109.8 seconds
Name: Marua Road, Instruction: Turn right onto Marua Road, Distance: 188.3 meters, Time: 135.6 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
