Name: Muspillistraße, Instruction: Head northeast on Muspillistraße, Distance: 7.7 meters, Time: 5.6 seconds
Name: Rochus-Dedler-Weg, Instruction: Turn left onto Rochus-Dedler-Weg, Distance: 171.7 meters, Time: 123.7 seconds
Name: Sankt Emmeram, Instruction: Turn left onto Sankt Emmeram, Distance: 14.9 meters, Time: 10.7 seconds
Name: Haimonstraße, Instruction: Turn left onto Haimonstraße, Distance: 54.9 meters, Time: 39.6 seconds
Name: Haimonstraße, Instruction: Continue straight onto Haimonstraße, Distance: 55.4 meters, Time: 39.9 seconds
Name: -, Instruction: Turn right, Distance: 96.7 meters, Time: 69.7 seconds
Name: -, Instruction: Keep right, Distance: 27.9 meters, Time: 20.1 seconds
Name: Mittlere-Isar-Straße, Instruction: Turn slight right onto Mittlere-Isar-Straße, Distance: 179.0 meters, Time: 128.9 seconds
Name: Mittlere-Isar-Straße, Instruction: Keep left onto Mittlere-Isar-Straße, Distance: 55.6 meters, Time: 40.1 seconds
Name: Mittlere-Isar-Straße, Instruction: Turn slight right onto Mittlere-Isar-Straße, Distance: 319.0 meters, Time: 229.7 seconds
Name: -, Instruction: Turn left, Distance: 233.3 meters, Time: 167.9 seconds
Name: -, Instruction: Keep right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Keep right, Distance: 48.4 meters, Time: 34.9 seconds
Name: -, Instruction: Keep right, Distance: 20.2 meters, Time: 14.6 seconds
Name: Forststraße, Instruction: Turn right onto Forststraße, Distance: 512.2 meters, Time: 368.8 seconds
Name: -, Instruction: Keep right, Distance: 46.5 meters, Time: 33.5 seconds
Name: -, Instruction: Keep right, Distance: 78.5 meters, Time: 56.5 seconds
Name: -, Instruction: Turn right, Distance: 122.9 meters, Time: 88.5 seconds
Name: -, Instruction: Turn slight right, Distance: 39.0 meters, Time: 28.1 seconds
Name: -, Instruction: Turn left, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
