Name: Wyandot Street, Instruction: Head south on Wyandot Street, Distance: 71.8 meters, Time: 51.7 seconds
Name: West 53rd Avenue, Instruction: Turn right onto West 53rd Avenue, Distance: 103.1 meters, Time: 74.2 seconds
Name: Zuni Street, Instruction: Turn left onto Zuni Street, Distance: 210.0 meters, Time: 151.2 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 405.3 meters, Time: 291.8 seconds
Name: -, Instruction: Turn right, Distance: 96.2 meters, Time: 69.3 seconds
Name: -, Instruction: Turn left, Distance: 150.4 meters, Time: 108.3 seconds
Name: -, Instruction: Turn right, Distance: 22.6 meters, Time: 16.2 seconds
Name: -, Instruction: Turn left, Distance: 39.8 meters, Time: 28.7 seconds
Name: -, Instruction: Turn right, Distance: 51.7 meters, Time: 37.2 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
