Name: 城山本通り, Instruction: Head west on 城山本通り, Distance: 77.2 meters, Time: 55.6 seconds
Name: -, Instruction: Turn right, Distance: 102.0 meters, Time: 73.4 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 80.8 meters, Time: 58.1 seconds
Name: -, Instruction: Turn left, Distance: 241.2 meters, Time: 173.6 seconds
Name: -, Instruction: Turn right, Distance: 51.1 meters, Time: 36.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 87.8 meters, Time: 63.2 seconds
Name: -, Instruction: Turn left, Distance: 31.1 meters, Time: 22.4 seconds
Name: -, Instruction: Turn right, Distance: 188.9 meters, Time: 136.0 seconds
Name: -, Instruction: Continue straight, Distance: 99.6 meters, Time: 71.7 seconds
Name: 早稲田通り, 25, Instruction: Turn left onto 早稲田通り, 25, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 30.2 meters, Time: 21.7 seconds
Name: -, Instruction: Keep right, Distance: 444.6 meters, Time: 320.1 seconds
Name: -, Instruction: Keep right, Distance: 291.0 meters, Time: 209.5 seconds
Name: -, Instruction: Keep left, Distance: 129.3 meters, Time: 93.1 seconds
Name: -, Instruction: Turn left, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Turn right, Distance: 58.9 meters, Time: 42.4 seconds
Name: -, Instruction: Turn left, Distance: 42.7 meters, Time: 30.7 seconds
Name: -, Instruction: Turn right, Distance: 127.5 meters, Time: 91.8 seconds
Name: -, Instruction: Turn left, Distance: 71.7 meters, Time: 51.7 seconds
Name: 平和公園通り, Instruction: Turn right onto 平和公園通り, Distance: 71.6 meters, Time: 51.5 seconds
Name: -, Instruction: Turn left, Distance: 129.8 meters, Time: 93.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn left, Distance: 44.8 meters, Time: 32.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
