Name: Impasse d'Antin, Instruction: Head east on Impasse d'Antin, Distance: 117.5 meters, Time: 84.6 seconds
Name: -, Instruction: Turn right, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 161.6 meters, Time: 116.4 seconds
Name: -, Instruction: Turn left, Distance: 123.5 meters, Time: 88.9 seconds
Name: -, Instruction: Turn slight left, Distance: 104.6 meters, Time: 75.3 seconds
Name: -, Instruction: Turn right, Distance: 56.5 meters, Time: 40.7 seconds
Name: Cours Albert-Iᵉʳ, Instruction: Turn left onto Cours Albert-Iᵉʳ, Distance: 38.3 meters, Time: 27.6 seconds
Name: Pont Alexandre III, Instruction: Turn right onto Pont Alexandre III, Distance: 200.8 meters, Time: 144.6 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
