Name: William Street, Instruction: Head west on William Street, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 325.2 meters, Time: 234.2 seconds
Name: -, Instruction: Turn right, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 143.2 meters, Time: 103.1 seconds
Name: -, Instruction: Keep left, Distance: 414.2 meters, Time: 298.2 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 121.6 meters, Time: 87.6 seconds
Name: -, Instruction: Turn left, Distance: 118.5 meters, Time: 85.3 seconds
Name: New McLean Street, Instruction: Turn left onto New McLean Street, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 42.2 meters, Time: 30.4 seconds
Name: Bowes Avenue, Instruction: Turn right onto Bowes Avenue, Distance: 60.0 meters, Time: 43.2 seconds
Name: -, Instruction: Keep right, Distance: 79.1 meters, Time: 56.9 seconds
Name: -, Instruction: Turn right, Distance: 24.8 meters, Time: 17.9 seconds
Name: -, Instruction: Turn right, Distance: 160.6 meters, Time: 115.7 seconds
Name: Sutherland Avenue, Instruction: Keep right onto Sutherland Avenue, Distance: 77.6 meters, Time: 55.9 seconds
Name: -, Instruction: Turn left, Distance: 47.4 meters, Time: 34.1 seconds
Name: -, Instruction: Turn right, Distance: 58.6 meters, Time: 42.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 119.2 meters, Time: 85.8 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 38.0 meters, Time: 27.3 seconds
Name: Windsor Lane (lower), Instruction: Turn sharp right onto Windsor Lane (lower), Distance: 8.7 meters, Time: 6.3 seconds
Name: Cascade Street, Instruction: Turn sharp left onto Cascade Street, Distance: 54.5 meters, Time: 39.2 seconds
Name: -, Instruction: Turn right, Distance: 39.3 meters, Time: 28.3 seconds
Name: Hopetoun Lane, Instruction: Turn left onto Hopetoun Lane, Distance: 92.9 meters, Time: 66.9 seconds
Name: Paddington Street, Instruction: Turn right onto Paddington Street, Distance: 87.7 meters, Time: 63.1 seconds
Name: Dudley Street, Instruction: Turn left onto Dudley Street, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Turn right, Distance: 103.6 meters, Time: 74.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
