Name: Avenida Manuel Caldeira de Alvarenga, Instruction: Head east on Avenida Manuel Caldeira de Alvarenga, Distance: 130.8 meters, Time: 94.2 seconds
Name: Estrada do Campinho, Instruction: Turn left onto Estrada do Campinho, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Keep right, Distance: 93.1 meters, Time: 67.0 seconds
Name: Rua Campo Grande, Instruction: Turn left onto Rua Campo Grande, Distance: 719.1 meters, Time: 517.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 35.5 meters, Time: 25.5 seconds
Name: -, Instruction: Turn right, Distance: 30.2 meters, Time: 21.8 seconds
Name: -, Instruction: Turn left, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn right, Distance: 51.0 meters, Time: 36.7 seconds
Name: -, Instruction: Turn right, Distance: 18.5 meters, Time: 13.3 seconds
Name: Praça Doutor Raul Boaventura, Instruction: Turn left onto Praça Doutor Raul Boaventura, Distance: 47.8 meters, Time: 34.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 32.3 meters, Time: 23.2 seconds
Name: Praça Doutor Raul Boaventura, Instruction: Turn left onto Praça Doutor Raul Boaventura, Distance: 241.9 meters, Time: 174.1 seconds
Name: Rua Aurélio de Figueiredo, Instruction: Keep right onto Rua Aurélio de Figueiredo, Distance: 41.6 meters, Time: 30.0 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
