Name: Peck Seah Street, Instruction: Head south on Peck Seah Street, Distance: 70.0 meters, Time: 50.4 seconds
Name: Gopeng Street, Instruction: Turn right onto Gopeng Street, Distance: 62.1 meters, Time: 44.7 seconds
Name: -, Instruction: Turn right, Distance: 19.8 meters, Time: 14.2 seconds
Name: -, Instruction: Turn left, Distance: 1.3 meters, Time: 0.9 seconds
Name: Tras Street, Instruction: Turn right onto Tras Street, Distance: 2.1 meters, Time: 1.5 seconds
Name: Tras Street, Instruction: Turn slight right onto Tras Street, Distance: 199.6 meters, Time: 143.7 seconds
Name: -, Instruction: Keep right, Distance: 44.8 meters, Time: 32.2 seconds
Name: Yan Kit Road, Instruction: Turn sharp right onto Yan Kit Road, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 183.1 meters, Time: 131.8 seconds
Name: -, Instruction: Turn left, Distance: 42.0 meters, Time: 30.2 seconds
Name: -, Instruction: Turn left, Distance: 89.2 meters, Time: 64.2 seconds
Name: -, Instruction: Turn right, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 172.3 meters, Time: 124.0 seconds
Name: -, Instruction: Turn left, Distance: 29.8 meters, Time: 21.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 47.3 meters, Time: 34.0 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Keep right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Keep right, Distance: 206.8 meters, Time: 148.9 seconds
Name: -, Instruction: Keep right, Distance: 345.8 meters, Time: 248.9 seconds
Name: -, Instruction: Turn right, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn left, Distance: 70.6 meters, Time: 50.8 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Keep right, Distance: 131.5 meters, Time: 94.7 seconds
Name: Eng Hoon Street, Instruction: Continue straight onto Eng Hoon Street, Distance: 201.1 meters, Time: 144.8 seconds
Name: Lim Liak Street, Instruction: Keep right onto Lim Liak Street, Distance: 88.5 meters, Time: 63.7 seconds
Name: -, Instruction: Turn right, Distance: 35.4 meters, Time: 25.5 seconds
Name: -, Instruction: Turn left, Distance: 197.8 meters, Time: 142.4 seconds
Name: -, Instruction: Turn right, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 33.6 meters, Time: 24.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
