Name: Estrada da Gávea, Instruction: Head southwest on Estrada da Gávea, Distance: 302.7 meters, Time: 218.0 seconds
Name: Avenida Almirante Álvaro Alberto, Instruction: Keep left onto Avenida Almirante Álvaro Alberto, Distance: 236.5 meters, Time: 170.2 seconds
Name: Avenida Aquarela do Brasil, Instruction: Turn sharp right onto Avenida Aquarela do Brasil, Distance: 34.8 meters, Time: 25.1 seconds
Name: Avenida Aquarela do Brasil, Instruction: Keep right onto Avenida Aquarela do Brasil, Distance: 118.5 meters, Time: 85.3 seconds
Name: -, Instruction: Keep right, Distance: 58.6 meters, Time: 42.2 seconds
Name: Avenida Prefeito Mendes de Morais, Instruction: Turn slight right onto Avenida Prefeito Mendes de Morais, Distance: 86.7 meters, Time: 62.4 seconds
Name: Avenida Prefeito Mendes de Morais, Instruction: Continue straight onto Avenida Prefeito Mendes de Morais, Distance: 47.0 meters, Time: 33.9 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: Orla São Conrado, Instruction: Turn right onto Orla São Conrado, Distance: 811.3 meters, Time: 584.1 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.6 seconds
Name: Avenida Prefeito Mendes de Morais, Instruction: Turn left onto Avenida Prefeito Mendes de Morais, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 24.8 meters, Time: 17.8 seconds
Name: Avenida Prefeito Mendes de Morais, Instruction: Turn left onto Avenida Prefeito Mendes de Morais, Distance: 226.0 meters, Time: 162.7 seconds
Name: Rua Princesa Diana de Gales, Instruction: Turn right onto Rua Princesa Diana de Gales, Distance: 70.6 meters, Time: 50.8 seconds
Name: -, Instruction: Keep right, Distance: 168.7 meters, Time: 121.4 seconds
Name: -, Instruction: Turn left, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Turn left, Distance: 15.6 meters, Time: 11.2 seconds
Name: Estrada do Joá, Instruction: Enter the roundabout and take the 1st exit onto Estrada do Joá, Distance: 245.0 meters, Time: 176.4 seconds
Name: -, Instruction: Arrive at Estrada do Joá, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
