Name: Cambridge Heath Road, A107, Instruction: Head southwest on Cambridge Heath Road, A107, Distance: 19.8 meters, Time: 14.3 seconds
Name: Hackney Road, A1208, Instruction: Turn right onto Hackney Road, A1208, Distance: 290.0 meters, Time: 208.8 seconds
Name: Pritchard's Road, Instruction: Turn right onto Pritchard's Road, Distance: 279.8 meters, Time: 201.4 seconds
Name: -, Instruction: Turn left, Distance: 37.0 meters, Time: 26.7 seconds
Name: -, Instruction: Turn right, Distance: 244.9 meters, Time: 176.3 seconds
Name: -, Instruction: Turn slight left, Distance: 20.2 meters, Time: 14.6 seconds
Name: -, Instruction: Keep right, Distance: 132.3 meters, Time: 95.3 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: Whiston Road, Instruction: Turn left onto Whiston Road, Distance: 213.7 meters, Time: 153.9 seconds
Name: Thurtle Road, Instruction: Turn left onto Thurtle Road, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 124.7 meters, Time: 89.8 seconds
Name: Bryant Street, Instruction: Turn right onto Bryant Street, Distance: 6.2 meters, Time: 4.5 seconds
Name: Whiston Road, Instruction: Turn left onto Whiston Road, Distance: 273.9 meters, Time: 197.2 seconds
Name: Nuttall Street, Instruction: Keep right onto Nuttall Street, Distance: 205.2 meters, Time: 147.7 seconds
Name: Hoxton Street, Instruction: Turn right onto Hoxton Street, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Arrive at Hoxton Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
