Name: Elisabeth-Stoeber-Straße, Instruction: Head north on Elisabeth-Stoeber-Straße, Distance: 91.6 meters, Time: 65.9 seconds
Name: -, Instruction: Turn right, Distance: 125.5 meters, Time: 90.4 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 30.6 meters, Time: 22.0 seconds
Name: -, Instruction: Turn slight right, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Turn right, Distance: 38.7 meters, Time: 27.9 seconds
Name: -, Instruction: Turn right, Distance: 27.8 meters, Time: 20.0 seconds
Name: -, Instruction: Turn right, Distance: 39.7 meters, Time: 28.6 seconds
Name: -, Instruction: Keep left, Distance: 40.8 meters, Time: 29.4 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 93.9 meters, Time: 67.6 seconds
Name: -, Instruction: Continue straight, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 56.6 meters, Time: 40.7 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn left, Distance: 73.7 meters, Time: 53.0 seconds
Name: -, Instruction: Turn right, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 8.5 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 31.8 meters, Time: 22.9 seconds
Name: -, Instruction: Turn right, Distance: 56.2 meters, Time: 40.5 seconds
Name: -, Instruction: Turn left, Distance: 136.0 meters, Time: 97.9 seconds
Name: -, Instruction: Turn slight left, Distance: 29.1 meters, Time: 21.0 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.8 seconds
Name: Heinz-Goerke-Straße, Instruction: Turn left onto Heinz-Goerke-Straße, Distance: 49.8 meters, Time: 35.8 seconds
Name: -, Instruction: Turn right, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Turn left, Distance: 3.3 meters, Time: 2.4 seconds
Name: Marchioninistraße, Instruction: Turn right onto Marchioninistraße, Distance: 221.4 meters, Time: 159.4 seconds
Name: -, Instruction: Turn left, Distance: 38.3 meters, Time: 27.6 seconds
Name: -, Instruction: Turn slight right, Distance: 230.8 meters, Time: 166.2 seconds
Name: -, Instruction: Turn right, Distance: 189.0 meters, Time: 136.1 seconds
Name: -, Instruction: Turn right, Distance: 53.0 meters, Time: 38.1 seconds
Name: Am Wiesenbach, Instruction: Turn right onto Am Wiesenbach, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
