Name: Gerrard Street East, Instruction: Head east on Gerrard Street East, Distance: 1.4 meters, Time: 1.0 seconds
Name: Hannaford Street, Instruction: Turn right onto Hannaford Street, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 215.8 meters, Time: 155.4 seconds
Name: -, Instruction: Turn slight right, Distance: 112.7 meters, Time: 81.1 seconds
Name: Osborne Avenue, Instruction: Turn right onto Osborne Avenue, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn slight left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn slight right, Distance: 200.3 meters, Time: 144.2 seconds
Name: -, Instruction: Turn left, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Turn right, Distance: 350.5 meters, Time: 252.4 seconds
Name: -, Instruction: Turn left, Distance: 74.1 meters, Time: 53.4 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 193.6 meters, Time: 139.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
