Name: Grant Street, Instruction: Head north on Grant Street, Distance: 48.7 meters, Time: 35.1 seconds
Name: Mckinley Road, Instruction: Turn right onto Mckinley Road, Distance: 145.1 meters, Time: 104.5 seconds
Name: Moor Street, Instruction: Turn right onto Moor Street, Distance: 54.7 meters, Time: 39.4 seconds
Name: -, Instruction: Turn left, Distance: 46.1 meters, Time: 33.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 144.3 meters, Time: 103.9 seconds
Name: Loch Road, Instruction: Turn sharp right onto Loch Road, Distance: 7.6 meters, Time: 5.5 seconds
Name: Doncaster Road, Instruction: Turn sharp left onto Doncaster Road, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: Doncaster Road, Instruction: Turn left onto Doncaster Road, Distance: 152.0 meters, Time: 109.4 seconds
Name: -, Instruction: Turn right, Distance: 207.7 meters, Time: 149.5 seconds
Name: -, Instruction: Turn slight right, Distance: 55.0 meters, Time: 39.6 seconds
Name: Doncaster Road, Instruction: Turn sharp right onto Doncaster Road, Distance: 21.2 meters, Time: 15.2 seconds
Name: -, Instruction: Keep left, Distance: 114.6 meters, Time: 82.5 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 156.4 meters, Time: 112.6 seconds
Name: Doncaster Road, Instruction: Turn left onto Doncaster Road, Distance: 68.8 meters, Time: 49.6 seconds
Name: Myhof Road, Instruction: Turn left onto Myhof Road, Distance: 304.9 meters, Time: 219.5 seconds
Name: Imam Haron Road, Instruction: Turn right onto Imam Haron Road, Distance: 405.6 meters, Time: 292.0 seconds
Name: Wolsey Road, Instruction: Turn left onto Wolsey Road, Distance: 353.1 meters, Time: 254.2 seconds
Name: Riverside Road, Instruction: Turn right onto Riverside Road, Distance: 66.6 meters, Time: 48.0 seconds
Name: Waltham Road, Instruction: Turn left onto Waltham Road, Distance: 142.8 meters, Time: 102.8 seconds
Name: -, Instruction: Arrive at Waltham Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
