Name: Lassell Street, Instruction: Head southeast on Lassell Street, Distance: 102.0 meters, Time: 73.5 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn slight left, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn right, Distance: 80.4 meters, Time: 57.9 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.1 seconds
Name: Old Woolwich Road, Instruction: Turn right onto Old Woolwich Road, Distance: 230.8 meters, Time: 166.2 seconds
Name: Eastney Street, Instruction: Turn left onto Eastney Street, Distance: 6.1 meters, Time: 4.4 seconds
Name: Old Woolwich Road, Instruction: Turn right onto Old Woolwich Road, Distance: 67.4 meters, Time: 48.5 seconds
Name: Park Row, Instruction: Turn right onto Park Row, Distance: 41.7 meters, Time: 30.0 seconds
Name: College Way, Instruction: Turn left onto College Way, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 389.8 meters, Time: 280.6 seconds
Name: -, Instruction: Turn left, Distance: 78.5 meters, Time: 56.5 seconds
Name: -, Instruction: Turn slight left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 67.5 meters, Time: 48.6 seconds
Name: -, Instruction: Turn right, Distance: 47.7 meters, Time: 34.4 seconds
Name: -, Instruction: Turn left, Distance: 107.6 meters, Time: 77.5 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 107.2 meters, Time: 77.2 seconds
Name: -, Instruction: Turn slight right, Distance: 24.5 meters, Time: 17.6 seconds
Name: -, Instruction: Turn slight right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn slight left, Distance: 183.2 meters, Time: 131.9 seconds
Name: -, Instruction: Keep right, Distance: 207.9 meters, Time: 149.7 seconds
Name: -, Instruction: Continue straight, Distance: 160.2 meters, Time: 115.3 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 34.5 meters, Time: 24.8 seconds
Name: -, Instruction: Turn left, Distance: 86.2 meters, Time: 62.1 seconds
Name: -, Instruction: Turn right, Distance: 37.9 meters, Time: 27.3 seconds
Name: -, Instruction: Keep left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
