Name: Bocking Street, Instruction: Head west on Bocking Street, Distance: 98.6 meters, Time: 71.0 seconds
Name: Sheep Lane, Instruction: Turn left onto Sheep Lane, Distance: 90.6 meters, Time: 65.2 seconds
Name: Duncan Road, Instruction: Turn right onto Duncan Road, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Turn left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn right, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn left, Distance: 20.8 meters, Time: 15.0 seconds
Name: Jackman Street, Instruction: Turn right onto Jackman Street, Distance: 41.8 meters, Time: 30.1 seconds
Name: Jackman Street, Instruction: Turn slight left onto Jackman Street, Distance: 50.5 meters, Time: 36.3 seconds
Name: Broadway Market, Instruction: Turn left onto Broadway Market, Distance: 26.5 meters, Time: 19.1 seconds
Name: Broadway Market, Instruction: Keep left onto Broadway Market, Distance: 12.8 meters, Time: 9.2 seconds
Name: Broadway Market, Instruction: Turn right onto Broadway Market, Distance: 35.2 meters, Time: 25.3 seconds
Name: Regent's Row, Instruction: Turn right onto Regent's Row, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 55.5 meters, Time: 40.0 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: Pritchard's Road, Instruction: Turn right onto Pritchard's Road, Distance: 33.8 meters, Time: 24.3 seconds
Name: Goldsmiths' Row, Instruction: Continue straight onto Goldsmiths' Row, Distance: 457.2 meters, Time: 329.2 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 82.5 meters, Time: 59.4 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: Columbia Road, Instruction: Continue straight onto Columbia Road, Distance: 38.6 meters, Time: 27.8 seconds
Name: Columbia Road, Instruction: Turn slight left onto Columbia Road, Distance: 101.3 meters, Time: 72.9 seconds
Name: Shipton Street, Instruction: Turn right onto Shipton Street, Distance: 95.3 meters, Time: 68.6 seconds
Name: -, Instruction: Turn left, Distance: 46.8 meters, Time: 33.7 seconds
Name: Ezra Street, Instruction: Turn sharp right onto Ezra Street, Distance: 81.0 meters, Time: 58.3 seconds
Name: Ravenscroft Street, Instruction: Turn left onto Ravenscroft Street, Distance: 20.1 meters, Time: 14.4 seconds
Name: -, Instruction: Turn right, Distance: 33.9 meters, Time: 24.4 seconds
Name: -, Instruction: Turn left, Distance: 45.4 meters, Time: 32.7 seconds
Name: -, Instruction: Keep right, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 40.1 meters, Time: 28.9 seconds
Name: -, Instruction: Turn left, Distance: 15.6 meters, Time: 11.2 seconds
Name: Columbia Road, Instruction: Turn right onto Columbia Road, Distance: 4.6 meters, Time: 3.3 seconds
Name: Chambord Street, Instruction: Turn left onto Chambord Street, Distance: 37.3 meters, Time: 26.8 seconds
Name: -, Instruction: Turn right, Distance: 42.4 meters, Time: 30.6 seconds
Name: -, Instruction: Turn left, Distance: 44.5 meters, Time: 32.1 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 32.9 meters, Time: 23.7 seconds
Name: Virginia Road, Instruction: Turn left onto Virginia Road, Distance: 11.7 meters, Time: 8.5 seconds
Name: Virginia Road, Instruction: Turn right onto Virginia Road, Distance: 48.9 meters, Time: 35.2 seconds
Name: Virginia Road, Instruction: Turn right onto Virginia Road, Distance: 1.3 meters, Time: 1.0 seconds
Name: Virginia Road, Instruction: Turn left onto Virginia Road, Distance: 81.6 meters, Time: 58.8 seconds
Name: Virginia Road, Instruction: Continue straight onto Virginia Road, Distance: 109.8 meters, Time: 79.1 seconds
Name: Boundary Street, Instruction: Turn slight left onto Boundary Street, Distance: 28.9 meters, Time: 20.8 seconds
Name: Calvert Avenue, Instruction: Turn right onto Calvert Avenue, Distance: 99.7 meters, Time: 71.8 seconds
Name: Shoreditch High Street, A10, Instruction: Turn left onto Shoreditch High Street, A10, Distance: 21.2 meters, Time: 15.3 seconds
Name: Rivington Street, Instruction: Turn right onto Rivington Street, Distance: 305.1 meters, Time: 219.7 seconds
Name: -, Instruction: Arrive at Rivington Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
