Name: Windermere Avenue, Instruction: Head north on Windermere Avenue, Distance: 17.9 meters, Time: 12.9 seconds
Name: Saint Olaves Road, Instruction: Enter the roundabout and take the 3rd exit onto Saint Olaves Road, Distance: 217.4 meters, Time: 156.5 seconds
Name: -, Instruction: Turn right, Distance: 183.8 meters, Time: 132.4 seconds
Name: Waller Avenue, Instruction: Turn left onto Waller Avenue, Distance: 14.9 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 91.3 meters, Time: 65.7 seconds
Name: -, Instruction: Turn slight right, Distance: 162.4 meters, Time: 116.9 seconds
Name: Rennie Terrace, Instruction: Turn left onto Rennie Terrace, Distance: 7.6 meters, Time: 5.5 seconds
Name: Morningside Avenue, Instruction: Turn right onto Morningside Avenue, Distance: 602.9 meters, Time: 434.1 seconds
Name: -, Instruction: Turn right, Distance: 72.0 meters, Time: 51.8 seconds
Name: -, Instruction: Keep right, Distance: 350.1 meters, Time: 252.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
