Name: Chin Bee Avenue, Instruction: Head east on Chin Bee Avenue, Distance: 155.8 meters, Time: 112.2 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 205.9 meters, Time: 148.2 seconds
Name: -, Instruction: Turn slight left, Distance: 70.9 meters, Time: 51.0 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: Third Chin Bee Road, Instruction: Turn left onto Third Chin Bee Road, Distance: 78.4 meters, Time: 56.4 seconds
Name: -, Instruction: Turn right, Distance: 159.1 meters, Time: 114.6 seconds
Name: -, Instruction: Turn right, Distance: 204.1 meters, Time: 146.9 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Turn right, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Continue straight, Distance: 30.7 meters, Time: 22.1 seconds
Name: -, Instruction: Turn right, Distance: 46.2 meters, Time: 33.3 seconds
Name: -, Instruction: Keep left, Distance: 62.8 meters, Time: 45.2 seconds
Name: -, Instruction: Turn right, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Keep left, Distance: 50.8 meters, Time: 36.6 seconds
Name: Yung An Road, Instruction: Turn right onto Yung An Road, Distance: 49.1 meters, Time: 35.3 seconds
Name: -, Instruction: Turn left, Distance: 36.3 meters, Time: 26.1 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
