Name: Senoko South Road, Instruction: Head southwest on Senoko South Road, Distance: 201.6 meters, Time: 145.1 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 180.4 meters, Time: 129.9 seconds
Name: -, Instruction: Turn right, Distance: 203.7 meters, Time: 146.6 seconds
Name: -, Instruction: Turn left, Distance: 41.2 meters, Time: 29.6 seconds
Name: -, Instruction: Turn right, Distance: 39.2 meters, Time: 28.2 seconds
Name: -, Instruction: Turn left, Distance: 336.8 meters, Time: 242.5 seconds
Name: -, Instruction: Turn right, Distance: 153.2 meters, Time: 110.3 seconds
Name: -, Instruction: Keep left, Distance: 645.5 meters, Time: 464.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
