Name: Pfälzer-Wald-Straße, Instruction: Head north on Pfälzer-Wald-Straße, Distance: 3.3 meters, Time: 2.4 seconds
Name: Frankenthaler Straße, Instruction: Turn left onto Frankenthaler Straße, Distance: 95.8 meters, Time: 69.0 seconds
Name: Frankenthaler Straße, Instruction: Turn right onto Frankenthaler Straße, Distance: 156.9 meters, Time: 112.9 seconds
Name: -, Instruction: Keep left, Distance: 109.2 meters, Time: 78.6 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Keep left, Distance: 18.3 meters, Time: 13.2 seconds
Name: Giesing, 51, 52, Instruction: Turn left onto Giesing, 51, 52, Distance: 142.2 meters, Time: 102.4 seconds
Name: GG07, Instruction: Turn left onto GG07, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 14.8 meters, Time: 10.6 seconds
Name: -, Instruction: Keep left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn slight left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 3.8 meters, Time: 2.8 seconds
Name: Schlierseestraße, Instruction: Turn left onto Schlierseestraße, Distance: 185.6 meters, Time: 133.6 seconds
Name: -, Instruction: Keep left, Distance: 120.4 meters, Time: 86.7 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: Warngauer Straße, Instruction: Turn left onto Warngauer Straße, Distance: 267.4 meters, Time: 192.5 seconds
Name: Untersbergstraße, Instruction: Turn left onto Untersbergstraße, Distance: 5.3 meters, Time: 3.8 seconds
Name: Warngauer Straße, Instruction: Turn right onto Warngauer Straße, Distance: 275.3 meters, Time: 198.2 seconds
Name: Warngauer Straße, Instruction: Turn slight right onto Warngauer Straße, Distance: 134.9 meters, Time: 97.1 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn slight right, Distance: 16.0 meters, Time: 11.5 seconds
Name: Werinherstraße, Instruction: Turn left onto Werinherstraße, Distance: 77.0 meters, Time: 55.4 seconds
Name: Raintaler Straße, Instruction: Turn right onto Raintaler Straße, Distance: 444.4 meters, Time: 319.9 seconds
Name: Am Bergsteig, Instruction: Turn right onto Am Bergsteig, Distance: 65.3 meters, Time: 47.0 seconds
Name: -, Instruction: Turn left, Distance: 40.1 meters, Time: 28.9 seconds
Name: -, Instruction: Keep left, Distance: 49.6 meters, Time: 35.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 48.0 meters, Time: 34.6 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: Kolumbusplatz, Instruction: Turn left onto Kolumbusplatz, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Arrive at Kolumbusplatz, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
