Name: Boulevard Berthier, Instruction: Head southwest on Boulevard Berthier, Distance: 8.9 meters, Time: 6.4 seconds
Name: Place Stuart Merrill, Instruction: Turn sharp left onto Place Stuart Merrill, Distance: 16.1 meters, Time: 11.6 seconds
Name: Rue d'Héliopolis, Instruction: Keep right onto Rue d'Héliopolis, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Keep left, Distance: 315.3 meters, Time: 227.0 seconds
Name: -, Instruction: Turn slight left, Distance: 97.4 meters, Time: 70.1 seconds
Name: -, Instruction: Keep left, Distance: 190.6 meters, Time: 137.2 seconds
Name: -, Instruction: Turn right, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn left, Distance: 97.7 meters, Time: 70.3 seconds
Name: -, Instruction: Turn slight right, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn left, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn slight right, Distance: 237.2 meters, Time: 170.7 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn slight right, Distance: 92.0 meters, Time: 66.3 seconds
Name: -, Instruction: Turn slight left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 157.0 meters, Time: 113.1 seconds
Name: -, Instruction: Turn left, Distance: 30.7 meters, Time: 22.1 seconds
Name: -, Instruction: Turn right, Distance: 21.6 meters, Time: 15.5 seconds
Name: -, Instruction: Turn right, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn left, Distance: 62.8 meters, Time: 45.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
