Name: Petit Lane, Instruction: Head northwest on Petit Lane, Distance: 70.0 meters, Time: 50.4 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 299.2 meters, Time: 215.4 seconds
Name: -, Instruction: Turn left, Distance: 197.9 meters, Time: 142.5 seconds
Name: Ruxton Road, Instruction: Turn left onto Ruxton Road, Distance: 167.2 meters, Time: 120.4 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Turn right, Distance: 91.0 meters, Time: 65.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
