Name: Katie Court, Instruction: Head north on Katie Court, Distance: 8.1 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 75.1 meters, Time: 54.1 seconds
Name: -, Instruction: Turn left, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 181.7 meters, Time: 130.8 seconds
Name: -, Instruction: Turn left, Distance: 150.4 meters, Time: 108.3 seconds
Name: Queen's Drive, Instruction: Turn left onto Queen's Drive, Distance: 6.9 meters, Time: 5.0 seconds
Name: Bluebell Gate, Instruction: Turn right onto Bluebell Gate, Distance: 120.6 meters, Time: 86.8 seconds
Name: Gracefield Avenue, Instruction: Turn left onto Gracefield Avenue, Distance: 29.0 meters, Time: 20.9 seconds
Name: -, Instruction: Turn right, Distance: 135.2 meters, Time: 97.3 seconds
Name: Dante Road, Instruction: Turn right onto Dante Road, Distance: 28.7 meters, Time: 20.7 seconds
Name: De Marco Boulevard, Instruction: Turn slight right onto De Marco Boulevard, Distance: 309.0 meters, Time: 222.5 seconds
Name: -, Instruction: Turn left, Distance: 205.3 meters, Time: 147.8 seconds
Name: -, Instruction: Turn right, Distance: 23.0 meters, Time: 16.6 seconds
Name: -, Instruction: Turn left, Distance: 245.2 meters, Time: 176.5 seconds
Name: -, Instruction: Turn right, Distance: 57.8 meters, Time: 41.6 seconds
Name: -, Instruction: Turn left, Distance: 55.7 meters, Time: 40.1 seconds
Name: -, Instruction: Turn left, Distance: 25.2 meters, Time: 18.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
