Name: Argyle Street, Instruction: Head west on Argyle Street, Distance: 701.5 meters, Time: 505.1 seconds
Name: Antonio Lopes Lane, Instruction: Turn right onto Antonio Lopes Lane, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 44.1 meters, Time: 31.7 seconds
Name: -, Instruction: Turn right, Distance: 61.8 meters, Time: 44.5 seconds
Name: -, Instruction: Turn left, Distance: 120.2 meters, Time: 86.5 seconds
Name: -, Instruction: Turn right, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Turn left, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn slight left, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn right, Distance: 315.4 meters, Time: 227.1 seconds
Name: Florence Street, Instruction: Turn left onto Florence Street, Distance: 7.4 meters, Time: 5.3 seconds
Name: Brock Avenue, Instruction: Turn left onto Brock Avenue, Distance: 209.0 meters, Time: 150.5 seconds
Name: Seaforth Avenue, Instruction: Turn right onto Seaforth Avenue, Distance: 374.1 meters, Time: 269.4 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 89.0 meters, Time: 64.1 seconds
Name: -, Instruction: Keep right, Distance: 116.3 meters, Time: 83.7 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: MacDonell Avenue, Instruction: Turn right onto MacDonell Avenue, Distance: 5.1 meters, Time: 3.7 seconds
Name: Pearson Avenue, Instruction: Turn left onto Pearson Avenue, Distance: 214.7 meters, Time: 154.5 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 32.6 meters, Time: 23.5 seconds
Name: -, Instruction: Turn right, Distance: 89.5 meters, Time: 64.4 seconds
Name: -, Instruction: Turn left, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
