Name: شارع هدى سلطان, Instruction: Head southwest on شارع هدى سلطان, Distance: 42.1 meters, Time: 30.3 seconds
Name: شارع عمر خورشيد, Instruction: Turn left onto شارع عمر خورشيد, Distance: 83.4 meters, Time: 60.0 seconds
Name: -, Instruction: Turn slight left, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 91.1 meters, Time: 65.6 seconds
Name: -, Instruction: Turn left, Distance: 248.7 meters, Time: 179.0 seconds
Name: -, Instruction: Keep left, Distance: 39.7 meters, Time: 28.6 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 56.3 meters, Time: 40.6 seconds
Name: شارع الحريه, Instruction: Turn right onto شارع الحريه, Distance: 30.8 meters, Time: 22.2 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 144.8 meters, Time: 104.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
