Name: Graßlfinger Straße, Instruction: Head southwest on Graßlfinger Straße, Distance: 9.7 meters, Time: 7.0 seconds
Name: Lichtenweg, Instruction: Turn left onto Lichtenweg, Distance: 121.3 meters, Time: 87.4 seconds
Name: Weiherweg, Instruction: Turn right onto Weiherweg, Distance: 415.0 meters, Time: 298.8 seconds
Name: Klematisstraße, Instruction: Turn sharp left onto Klematisstraße, Distance: 148.8 meters, Time: 107.1 seconds
Name: -, Instruction: Turn right, Distance: 85.4 meters, Time: 61.5 seconds
Name: -, Instruction: Turn left, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 444.9 meters, Time: 320.3 seconds
Name: Richard-Strauss-Straße, Instruction: Turn right onto Richard-Strauss-Straße, Distance: 8.0 meters, Time: 5.7 seconds
Name: Bahnhofstraße, Instruction: Turn right onto Bahnhofstraße, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 80.0 meters, Time: 57.6 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 34.4 meters, Time: 24.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
