Name: شارع 8, Instruction: Head northwest on شارع 8, Distance: 90.6 meters, Time: 65.3 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 292.6 meters, Time: 210.7 seconds
Name: -, Instruction: Turn left, Distance: 45.2 meters, Time: 32.5 seconds
Name: -, Instruction: Turn right, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Turn slight left, Distance: 31.6 meters, Time: 22.8 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 33.2 meters, Time: 23.9 seconds
Name: -, Instruction: Turn slight right, Distance: 80.4 meters, Time: 57.9 seconds
Name: -, Instruction: Turn left, Distance: 62.1 meters, Time: 44.7 seconds
Name: -, Instruction: Turn left, Distance: 40.1 meters, Time: 28.9 seconds
Name: -, Instruction: Turn right, Distance: 51.6 meters, Time: 37.1 seconds
Name: شارع الدكتورة لينا خالد, Instruction: Turn left onto شارع الدكتورة لينا خالد, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn right, Distance: 307.3 meters, Time: 221.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 56.0 meters, Time: 40.3 seconds
Name: -, Instruction: Keep right, Distance: 66.9 meters, Time: 48.2 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 546.2 meters, Time: 393.2 seconds
Name: محور مصطفى كامل الجانبى, Instruction: Turn left onto محور مصطفى كامل الجانبى, Distance: 439.6 meters, Time: 316.5 seconds
Name: -, Instruction: Turn right, Distance: 35.2 meters, Time: 25.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
