Name: Canberra Lane, Instruction: Head northeast on Canberra Lane, Distance: 102.7 meters, Time: 73.9 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 53.3 meters, Time: 38.4 seconds
Name: -, Instruction: Keep right, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Turn left, Distance: 202.0 meters, Time: 145.4 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: Canberra Walk, Instruction: Turn right onto Canberra Walk, Distance: 53.9 meters, Time: 38.8 seconds
Name: Canberra Walk, Instruction: Continue straight onto Canberra Walk, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Turn left, Distance: 10.8 meters, Time: 7.8 seconds
Name: Canberra Walk, Instruction: Turn right onto Canberra Walk, Distance: 86.7 meters, Time: 62.4 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Turn right, Distance: 211.8 meters, Time: 152.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
