Name: Rajah Street, Instruction: Head south on Rajah Street, Distance: 77.9 meters, Time: 56.1 seconds
Name: -, Instruction: Turn left, Distance: 277.5 meters, Time: 199.8 seconds
Name: Neptune Drive, Instruction: Turn right onto Neptune Drive, Distance: 62.7 meters, Time: 45.1 seconds
Name: Neptune Drive, Instruction: Turn slight left onto Neptune Drive, Distance: 154.7 meters, Time: 111.4 seconds
Name: -, Instruction: Turn right, Distance: 136.9 meters, Time: 98.5 seconds
Name: -, Instruction: Turn right, Distance: 60.3 meters, Time: 43.4 seconds
Name: -, Instruction: Turn right, Distance: 139.0 meters, Time: 100.1 seconds
Name: -, Instruction: Turn right, Distance: 86.6 meters, Time: 62.3 seconds
Name: -, Instruction: Turn left, Distance: 15.1 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
