Name: Bonteheuwel, Instruction: Head northwest on Bonteheuwel, Distance: 171.6 meters, Time: 123.5 seconds
Name: Links Drive, Instruction: Turn right onto Links Drive, Distance: 177.9 meters, Time: 128.1 seconds
Name: -, Instruction: Turn left, Distance: 209.7 meters, Time: 151.0 seconds
Name: -, Instruction: Keep left, Distance: 85.7 meters, Time: 61.7 seconds
Name: -, Instruction: Keep left, Distance: 95.5 meters, Time: 68.7 seconds
Name: -, Instruction: Turn left, Distance: 2.0 meters, Time: 1.4 seconds
Name: Alices Ride, Instruction: Turn sharp right onto Alices Ride, Distance: 89.2 meters, Time: 64.2 seconds
Name: -, Instruction: Turn right, Distance: 128.6 meters, Time: 92.6 seconds
Name: Saint Stephens Road, Instruction: Turn right onto Saint Stephens Road, Distance: 63.9 meters, Time: 46.0 seconds
Name: Saint Stephens Road, Instruction: Keep left onto Saint Stephens Road, Distance: 21.8 meters, Time: 15.7 seconds
Name: Saint Stephens Road, Instruction: Enter the roundabout and take the 3rd exit onto Saint Stephens Road, Distance: 429.3 meters, Time: 309.1 seconds
Name: North Walk, Instruction: Enter the roundabout and take the 3rd exit onto North Walk, Distance: 215.2 meters, Time: 154.9 seconds
Name: Steengroef Road, Instruction: Turn left onto Steengroef Road, Distance: 88.9 meters, Time: 64.0 seconds
Name: Hockey Road, Instruction: Turn right onto Hockey Road, Distance: 28.4 meters, Time: 20.4 seconds
Name: -, Instruction: Turn left, Distance: 24.1 meters, Time: 17.4 seconds
Name: -, Instruction: Turn right, Distance: 64.0 meters, Time: 46.1 seconds
Name: Hockey Close, Instruction: Turn left onto Hockey Close, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Arrive at Hockey Close, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
