Name: Calle Severiano Ceniceros, Instruction: Head west on Calle Severiano Ceniceros, Distance: 53.1 meters, Time: 38.3 seconds
Name: -, Instruction: Keep right, Distance: 133.1 meters, Time: 95.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 298.8 meters, Time: 215.1 seconds
Name: -, Instruction: Keep left, Distance: 370.0 meters, Time: 266.4 seconds
Name: -, Instruction: Keep left, Distance: 26.2 meters, Time: 18.9 seconds
Name: -, Instruction: Keep left, Distance: 149.9 meters, Time: 108.0 seconds
Name: -, Instruction: Turn left, Distance: 15.9 meters, Time: 11.5 seconds
Name: -, Instruction: Turn slight left, Distance: 79.0 meters, Time: 56.9 seconds
Name: -, Instruction: Turn right, Distance: 34.8 meters, Time: 25.0 seconds
Name: Privada Veracruz, Instruction: Turn left onto Privada Veracruz, Distance: 206.0 meters, Time: 148.4 seconds
Name: Calle Tlalocan, Instruction: Turn left onto Calle Tlalocan, Distance: 254.7 meters, Time: 183.4 seconds
Name: Calle Xochiquétzal, Instruction: Turn right onto Calle Xochiquétzal, Distance: 244.4 meters, Time: 176.0 seconds
Name: Calle Acueducto de Guadalupe, Instruction: Turn left onto Calle Acueducto de Guadalupe, Distance: 88.9 meters, Time: 64.0 seconds
Name: Avenida Acueducto de Guadalupe, Instruction: Continue straight onto Avenida Acueducto de Guadalupe, Distance: 163.7 meters, Time: 117.9 seconds
Name: -, Instruction: Arrive at Avenida Acueducto de Guadalupe, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
