Name: Mason's Avenue, Instruction: Head east on Mason's Avenue, Distance: 6.8 meters, Time: 4.9 seconds
Name: Coleman Street, Instruction: Turn right onto Coleman Street, Distance: 89.9 meters, Time: 64.7 seconds
Name: -, Instruction: Turn left, Distance: 25.2 meters, Time: 18.1 seconds
Name: -, Instruction: Turn right, Distance: 15.8 meters, Time: 11.4 seconds
Name: Lothbury, Instruction: Turn left onto Lothbury, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 147.3 meters, Time: 106.0 seconds
Name: -, Instruction: Turn left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn slight left, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Turn right, Distance: 28.8 meters, Time: 20.8 seconds
Name: -, Instruction: Keep right, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn right, Distance: 247.2 meters, Time: 178.0 seconds
Name: -, Instruction: Keep right, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 480.2 meters, Time: 345.7 seconds
Name: London Bridge Walk, Instruction: Keep left onto London Bridge Walk, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 45.8 meters, Time: 32.9 seconds
Name: London Bridge Street, Instruction: Turn left onto London Bridge Street, Distance: 45.2 meters, Time: 32.5 seconds
Name: London Bridge Street, Instruction: Keep right onto London Bridge Street, Distance: 107.3 meters, Time: 77.2 seconds
Name: London Bridge Street, Instruction: Turn right onto London Bridge Street, Distance: 26.2 meters, Time: 18.9 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 34.7 meters, Time: 25.0 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.9 seconds
Name: Joiner Street, Instruction: Turn left onto Joiner Street, Distance: 19.2 meters, Time: 13.9 seconds
Name: St. Thomas Street, Instruction: Turn right onto St. Thomas Street, Distance: 4.0 meters, Time: 2.9 seconds
Name: Great Maze Pond, Instruction: Turn left onto Great Maze Pond, Distance: 258.4 meters, Time: 186.1 seconds
Name: Snowsfields, Instruction: Turn sharp left onto Snowsfields, Distance: 8.2 meters, Time: 5.9 seconds
Name: Hamilton Square, Instruction: Turn right onto Hamilton Square, Distance: 23.5 meters, Time: 16.9 seconds
Name: Hamilton Square, Instruction: Turn left onto Hamilton Square, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Arrive at Hamilton Square, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
