Name: Kendal Crescent, Instruction: Head north on Kendal Crescent, Distance: 240.5 meters, Time: 173.2 seconds
Name: -, Instruction: Turn right, Distance: 280.0 meters, Time: 201.6 seconds
Name: -, Instruction: Turn left, Distance: 14.8 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 300.8 meters, Time: 216.6 seconds
Name: -, Instruction: Turn left, Distance: 33.4 meters, Time: 24.0 seconds
Name: Second Avenue, Instruction: Turn right onto Second Avenue, Distance: 259.6 meters, Time: 186.9 seconds
Name: Edmondson Drive, Instruction: Turn slight left onto Edmondson Drive, Distance: 113.8 meters, Time: 81.9 seconds
Name: Endeavour Drive, Instruction: Turn left onto Endeavour Drive, Distance: 135.5 meters, Time: 97.5 seconds
Name: -, Instruction: Turn left, Distance: 74.5 meters, Time: 53.6 seconds
Name: -, Instruction: Turn left, Distance: 60.0 meters, Time: 43.2 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
