Name: Caddies Boulevarde, Instruction: Head northwest on Caddies Boulevarde, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 367.5 meters, Time: 264.6 seconds
Name: -, Instruction: Turn left, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Turn right, Distance: 60.1 meters, Time: 43.3 seconds
Name: -, Instruction: Turn left, Distance: 376.7 meters, Time: 271.2 seconds
Name: -, Instruction: Turn left, Distance: 94.7 meters, Time: 68.2 seconds
Name: -, Instruction: Turn right, Distance: 198.9 meters, Time: 143.2 seconds
Name: -, Instruction: Turn left, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn right, Distance: 225.8 meters, Time: 162.5 seconds
Name: -, Instruction: Turn left, Distance: 26.2 meters, Time: 18.9 seconds
Name: -, Instruction: Turn right, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 241.7 meters, Time: 174.0 seconds
Name: -, Instruction: Turn left, Distance: 129.2 meters, Time: 93.0 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: Singleton Avenue, Instruction: Turn left onto Singleton Avenue, Distance: 122.9 meters, Time: 88.5 seconds
Name: -, Instruction: Arrive at Singleton Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
