Name: Lotte-Branz-Straße, Instruction: Head north on Lotte-Branz-Straße, Distance: 76.1 meters, Time: 54.8 seconds
Name: Maria-Probst-Straße, Instruction: Turn left onto Maria-Probst-Straße, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: Maria-Probst-Straße, Instruction: Turn left onto Maria-Probst-Straße, Distance: 274.7 meters, Time: 197.8 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: Maria-Probst-Straße, Instruction: Turn left onto Maria-Probst-Straße, Distance: 152.7 meters, Time: 109.9 seconds
Name: -, Instruction: Turn right, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: Helene-Wessel-Bogen, Instruction: Turn sharp right onto Helene-Wessel-Bogen, Distance: 66.5 meters, Time: 47.9 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
