Name: Moy Place, Instruction: Head south on Moy Place, Distance: 45.8 meters, Time: 33.0 seconds
Name: Millisle Place, Instruction: Turn left onto Millisle Place, Distance: 165.1 meters, Time: 118.9 seconds
Name: Foundation Avenue, Instruction: Turn left onto Foundation Avenue, Distance: 152.7 meters, Time: 110.0 seconds
Name: Foundation Avenue, Instruction: Enter the roundabout and take the 2nd exit onto Foundation Avenue, Distance: 43.8 meters, Time: 31.5 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 134.8 meters, Time: 97.1 seconds
Name: -, Instruction: Turn left, Distance: 54.7 meters, Time: 39.4 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.5 seconds
Name: -, Instruction: Turn right, Distance: 50.5 meters, Time: 36.4 seconds
Name: -, Instruction: Keep right, Distance: 26.6 meters, Time: 19.2 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 228.2 meters, Time: 164.3 seconds
Name: -, Instruction: Keep right, Distance: 8.1 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 44.8 meters, Time: 32.2 seconds
Name: -, Instruction: Turn right, Distance: 53.7 meters, Time: 38.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
