Name: Segar Road, Instruction: Head east on Segar Road, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 1172.8 meters, Time: 844.4 seconds
Name: -, Instruction: Keep right, Distance: 234.1 meters, Time: 168.5 seconds
Name: -, Instruction: Turn right, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn left, Distance: 36.3 meters, Time: 26.2 seconds
Name: -, Instruction: Keep right, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: Pang Sua Park Connector, Instruction: Turn slight right onto Pang Sua Park Connector, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 148.2 meters, Time: 106.7 seconds
Name: -, Instruction: Continue straight, Distance: 94.7 meters, Time: 68.2 seconds
Name: -, Instruction: Continue straight, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Turn left, Distance: 223.9 meters, Time: 161.2 seconds
Name: -, Instruction: Turn left, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
