Name: Yio Chu Kang Road, Instruction: Head south on Yio Chu Kang Road, Distance: 26.4 meters, Time: 19.0 seconds
Name: Buangkok Park Connector, Instruction: Turn left onto Buangkok Park Connector, Distance: 22.6 meters, Time: 16.3 seconds
Name: Buangkok Park Connector, Instruction: Turn slight left onto Buangkok Park Connector, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 35.1 meters, Time: 25.3 seconds
Name: -, Instruction: Keep left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn slight right, Distance: 186.5 meters, Time: 134.3 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 134.8 meters, Time: 97.1 seconds
Name: CP, Instruction: Turn right onto CP, Distance: 90.0 meters, Time: 64.8 seconds
Name: -, Instruction: Turn left, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn right, Distance: 87.6 meters, Time: 63.0 seconds
Name: -, Instruction: Turn left, Distance: 10.8 meters, Time: 7.8 seconds
Name: Buangkok Crescent, Instruction: Turn right onto Buangkok Crescent, Distance: 32.2 meters, Time: 23.2 seconds
Name: Buangkok Crescent, Instruction: Keep left onto Buangkok Crescent, Distance: 44.7 meters, Time: 32.2 seconds
Name: Buangkok Link, Instruction: Turn slight left onto Buangkok Link, Distance: 294.5 meters, Time: 212.0 seconds
Name: -, Instruction: Keep right, Distance: 24.5 meters, Time: 17.6 seconds
Name: Buangkok Link, Instruction: Turn left onto Buangkok Link, Distance: 280.7 meters, Time: 202.1 seconds
Name: -, Instruction: Arrive at Buangkok Link, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
