Name: Fontana Drive, Instruction: Head north on Fontana Drive, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 207.6 meters, Time: 149.5 seconds
Name: -, Instruction: Turn slight right, Distance: 81.9 meters, Time: 59.0 seconds
Name: -, Instruction: Keep right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn slight left, Distance: 59.8 meters, Time: 43.1 seconds
Name: -, Instruction: Keep right, Distance: 6.0 meters, Time: 4.3 seconds
Name: Barlow Boulevard, Instruction: Turn left onto Barlow Boulevard, Distance: 398.4 meters, Time: 286.9 seconds
Name: Kiewa Grove, Instruction: Turn right onto Kiewa Grove, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 184.8 meters, Time: 133.0 seconds
Name: -, Instruction: Turn left, Distance: 82.5 meters, Time: 59.4 seconds
Name: -, Instruction: Turn right, Distance: 56.1 meters, Time: 40.4 seconds
Name: -, Instruction: Turn slight left, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn slight right, Distance: 148.1 meters, Time: 106.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
