Name: 西台中央通り, Instruction: Head south on 西台中央通り, Distance: 7.0 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 218.0 meters, Time: 157.0 seconds
Name: -, Instruction: Turn left, Distance: 28.4 meters, Time: 20.5 seconds
Name: -, Instruction: Turn right, Distance: 106.7 meters, Time: 76.9 seconds
Name: -, Instruction: Turn slight right, Distance: 25.5 meters, Time: 18.4 seconds
Name: -, Instruction: Turn right, Distance: 49.9 meters, Time: 35.9 seconds
Name: -, Instruction: Turn left, Distance: 169.5 meters, Time: 122.0 seconds
Name: -, Instruction: Keep right, Distance: 196.9 meters, Time: 141.8 seconds
Name: -, Instruction: Keep left, Distance: 721.7 meters, Time: 519.6 seconds
Name: -, Instruction: Turn right, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
