Name: Praça dos Lavradores, Instruction: Head east on Praça dos Lavradores, Distance: 66.5 meters, Time: 47.9 seconds
Name: Rua Dinis Barreto, Instruction: Turn right onto Rua Dinis Barreto, Distance: 179.1 meters, Time: 129.0 seconds
Name: Estrada Intendente Magalhães, Instruction: Turn left onto Estrada Intendente Magalhães, Distance: 51.7 meters, Time: 37.2 seconds
Name: -, Instruction: Turn right, Distance: 16.0 meters, Time: 11.6 seconds
Name: -, Instruction: Turn left, Distance: 63.0 meters, Time: 45.4 seconds
Name: Rua Cândido Benício, Instruction: Turn left onto Rua Cândido Benício, Distance: 101.5 meters, Time: 73.1 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 113.5 meters, Time: 81.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 14.4 meters, Time: 10.4 seconds
Name: Avenida Ernani Cardoso, Instruction: Turn sharp left onto Avenida Ernani Cardoso, Distance: 46.8 meters, Time: 33.7 seconds
Name: Rua Bauru, Instruction: Turn right onto Rua Bauru, Distance: 139.2 meters, Time: 100.2 seconds
Name: Rua Bauru, Instruction: Turn left onto Rua Bauru, Distance: 87.0 meters, Time: 62.7 seconds
Name: -, Instruction: Arrive at Rua Bauru, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
