Name: Münchhausenstraße, Instruction: Head west on Münchhausenstraße, Distance: 70.0 meters, Time: 50.4 seconds
Name: Freseniusstraße, Instruction: Turn left onto Freseniusstraße, Distance: 109.1 meters, Time: 78.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 129.9 meters, Time: 93.5 seconds
Name: -, Instruction: Turn left, Distance: 82.3 meters, Time: 59.2 seconds
Name: Frauendorferstraße, Instruction: Turn right onto Frauendorferstraße, Distance: 70.4 meters, Time: 50.7 seconds
Name: Packenreiterstraße, Instruction: Turn slight left onto Packenreiterstraße, Distance: 66.6 meters, Time: 47.9 seconds
Name: -, Instruction: Turn left, Distance: 269.5 meters, Time: 194.0 seconds
Name: -, Instruction: Turn right, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn left, Distance: 117.4 meters, Time: 84.6 seconds
Name: -, Instruction: Turn right, Distance: 113.0 meters, Time: 81.4 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 75.6 meters, Time: 54.4 seconds
Name: -, Instruction: Turn left, Distance: 7.3 meters, Time: 5.3 seconds
Name: Menterstraße, Instruction: Turn right onto Menterstraße, Distance: 242.9 meters, Time: 174.9 seconds
Name: -, Instruction: Turn left, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
