Name: Banning Street, Instruction: Head northeast on Banning Street, Distance: 182.3 meters, Time: 131.3 seconds
Name: Pelton Road, Instruction: Turn right onto Pelton Road, Distance: 270.2 meters, Time: 194.5 seconds
Name: Pelton Road, Instruction: Continue straight onto Pelton Road, Distance: 44.7 meters, Time: 32.2 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 20.0 meters, Time: 14.4 seconds
Name: Pelton Road, Instruction: Continue straight onto Pelton Road, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 31.3 meters, Time: 22.6 seconds
Name: -, Instruction: Turn slight right, Distance: 308.3 meters, Time: 221.9 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 139.4 meters, Time: 100.4 seconds
Name: Chilver Street, Instruction: Turn left onto Chilver Street, Distance: 30.4 meters, Time: 21.9 seconds
Name: Dandridge Close, Instruction: Turn right onto Dandridge Close, Distance: 95.5 meters, Time: 68.8 seconds
Name: -, Instruction: Arrive at Dandridge Close, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
